filename,width,height,class,xmin,ymin,xmax,ymax
1243.jpg,640,512,truck,371,220,407,308
1243.jpg,640,512,person,355,384,365,397
1243.jpg,640,512,person,110,225,121,243
1243.jpg,640,512,person,0,265,9,283
1243.jpg,640,512,person,33,252,43,270
1243.jpg,640,512,person,22,248,32,266
1243.jpg,640,512,person,25,415,35,433
1243.jpg,640,512,person,29,422,40,440
1243.jpg,640,512,car,86,244,109,283
1243.jpg,640,512,car,117,191,141,234
1243.jpg,640,512,car,440,238,464,291
1243.jpg,640,512,car,-1,117,22,140
1243.jpg,640,512,car,1,142,25,165
1243.jpg,640,512,car,174,62,197,78
1244.jpg,640,512,car,441,242,464,291
1244.jpg,640,512,truck,372,219,406,303
1244.jpg,640,512,truck,295,179,329,269
1244.jpg,640,512,person,22,420,35,432
1244.jpg,640,512,person,24,429,37,440
1244.jpg,640,512,person,18,232,31,243
1244.jpg,640,512,person,21,248,35,260
1244.jpg,640,512,person,27,247,40,259
1244.jpg,640,512,person,0,267,13,279
1244.jpg,640,512,person,353,384,366,396
1244.jpg,640,512,person,110,224,123,242
1244.jpg,640,512,car,1,142,22,166
1244.jpg,640,512,car,0,115,21,139
1244.jpg,640,512,car,174,57,197,77
1244.jpg,640,512,car,114,190,140,236
1244.jpg,640,512,car,83,238,106,287
1245.jpg,640,512,car,2,238,24,288
1245.jpg,640,512,person,23,212,37,233
1245.jpg,640,512,car,347,239,369,289
1245.jpg,640,512,car,35,184,58,238
1245.jpg,640,512,truck,277,217,311,301
1245.jpg,640,512,truck,201,179,238,268
1246.jpg,640,512,person,325,159,332,173
1246.jpg,640,512,person,252,0,259,5
1246.jpg,640,512,car,563,20,604,35
1246.jpg,640,512,car,574,36,615,51
1246.jpg,640,512,car,566,46,598,61
1246.jpg,640,512,car,629,52,640,67
1246.jpg,640,512,car,630,70,640,88
1246.jpg,640,512,person,596,120,603,134
1246.jpg,640,512,person,540,0,546,10
1246.jpg,640,512,person,595,113,602,126
1246.jpg,640,512,car,234,269,254,313
1246.jpg,640,512,car,273,11,319,31
1246.jpg,640,512,car,585,247,605,290
1246.jpg,640,512,car,575,300,600,345
1246.jpg,640,512,truck,374,268,416,360
1246.jpg,640,512,truck,293,248,330,332
1246.jpg,640,512,car,622,1,640,11
1246.jpg,640,512,car,203,47,224,79
1246.jpg,640,512,person,320,162,327,175
1247.jpg,640,512,car,292,196,307,219
1247.jpg,640,512,car,378,306,399,320
1247.jpg,640,512,car,528,250,549,264
1247.jpg,640,512,car,560,213,582,227
1247.jpg,640,512,car,566,222,587,236
1247.jpg,640,512,car,624,161,637,175
1247.jpg,640,512,car,595,176,611,193
1247.jpg,640,512,car,545,183,561,201
1247.jpg,640,512,car,543,209,564,223
1247.jpg,640,512,car,95,455,134,474
1247.jpg,640,512,truck,227,368,303,399
1247.jpg,640,512,car,73,322,90,350
1247.jpg,640,512,car,363,260,379,285
1247.jpg,640,512,car,348,272,361,296
1247.jpg,640,512,car,417,150,429,170
1247.jpg,640,512,car,407,154,419,174
1247.jpg,640,512,car,386,162,398,183
1247.jpg,640,512,person,186,390,191,399
1247.jpg,640,512,car,28,310,45,338
1247.jpg,640,512,person,243,212,248,220
1247.jpg,640,512,person,262,206,267,218
1247.jpg,640,512,person,202,227,208,236
1247.jpg,640,512,person,198,228,203,237
1247.jpg,640,512,car,90,270,105,293
1247.jpg,640,512,car,124,270,139,297
1247.jpg,640,512,car,151,250,166,277
1247.jpg,640,512,car,132,304,147,332
1247.jpg,640,512,car,170,324,185,351
1247.jpg,640,512,car,226,262,241,286
1247.jpg,640,512,car,221,222,237,246
1247.jpg,640,512,car,261,199,276,223
1247.jpg,640,512,car,247,212,262,235
1247.jpg,640,512,car,346,215,363,236
1248.jpg,640,512,car,144,255,172,272
1248.jpg,640,512,car,410,152,432,166
1248.jpg,640,512,car,401,158,422,172
1248.jpg,640,512,car,380,166,402,180
1248.jpg,640,512,car,344,218,365,232
1248.jpg,640,512,car,540,185,561,199
1248.jpg,640,512,car,630,160,641,171
1248.jpg,640,512,car,626,173,640,188
1248.jpg,640,512,car,570,216,586,239
1248.jpg,640,512,car,547,217,564,240
1248.jpg,640,512,car,549,202,563,225
1248.jpg,640,512,car,589,181,603,201
1248.jpg,640,512,car,263,359,284,394
1248.jpg,640,512,truck,72,438,179,475
1248.jpg,640,512,car,287,202,309,216
1248.jpg,640,512,car,258,206,280,218
1248.jpg,640,512,car,244,218,266,231
1248.jpg,640,512,car,217,227,239,241
1248.jpg,640,512,car,86,276,108,290
1248.jpg,640,512,person,80,268,85,278
1248.jpg,640,512,person,84,266,89,275
1248.jpg,640,512,person,200,227,205,236
1248.jpg,640,512,person,203,228,208,237
1248.jpg,640,512,person,262,207,267,216
1248.jpg,640,512,person,242,212,247,221
1248.jpg,640,512,car,221,267,246,281
1248.jpg,640,512,car,65,328,97,346
1248.jpg,640,512,car,25,326,56,344
1248.jpg,640,512,car,19,313,51,331
1248.jpg,640,512,car,169,323,187,351
1248.jpg,640,512,car,132,304,148,330
1248.jpg,640,512,car,119,275,147,292
1249.jpg,640,512,car,21,81,51,98
1249.jpg,640,512,car,610,0,639,13
1249.jpg,640,512,car,532,17,558,32
1249.jpg,640,512,car,499,7,530,21
1249.jpg,640,512,car,431,11,464,28
1249.jpg,640,512,car,353,17,391,36
1249.jpg,640,512,car,195,42,229,58
1249.jpg,640,512,truck,233,98,357,131
1249.jpg,640,512,car,142,0,167,9
1249.jpg,640,512,person,89,59,97,69
1249.jpg,640,512,person,87,56,94,66
1249.jpg,640,512,person,7,55,17,66
1249.jpg,640,512,motorcycle,72,82,88,92
1249.jpg,640,512,motorcycle,18,97,34,106
1249.jpg,640,512,car,77,65,111,80
1249.jpg,640,512,car,21,81,51,98
1249.jpg,640,512,car,610,0,639,13
1249.jpg,640,512,car,532,17,558,32
1249.jpg,640,512,car,499,7,530,21
1249.jpg,640,512,car,431,11,464,28
1249.jpg,640,512,car,353,17,391,36
1249.jpg,640,512,car,195,42,229,58
1249.jpg,640,512,truck,233,98,357,131
1249.jpg,640,512,car,142,0,167,9
1249.jpg,640,512,person,89,59,97,69
1249.jpg,640,512,person,87,56,94,66
1249.jpg,640,512,person,7,55,17,66
1249.jpg,640,512,motorcycle,72,82,88,92
1249.jpg,640,512,motorcycle,18,97,34,106
1249.jpg,640,512,car,77,65,111,80
1250.jpg,640,512,truck,316,197,380,222
1250.jpg,640,512,person,397,11,420,27
1250.jpg,640,512,car,7,0,27,11
1250.jpg,640,512,truck,274,237,347,266
1250.jpg,640,512,truck,245,245,309,272
1251.jpg,640,512,car,88,23,104,41
1251.jpg,640,512,car,589,97,610,112
1251.jpg,640,512,car,422,-2,437,16
1251.jpg,640,512,person,611,95,621,107
1251.jpg,640,512,truck,281,270,300,315
1251.jpg,640,512,truck,305,267,328,316
1251.jpg,640,512,truck,332,245,355,292
1251.jpg,640,512,car,366,105,384,130
1251.jpg,640,512,car,86,132,104,155
1251.jpg,640,512,car,188,437,206,479
1251.jpg,640,512,car,145,52,161,69
1251.jpg,640,512,car,127,55,143,74
1251.jpg,640,512,car,91,42,107,60
1252.jpg,640,512,car,591,101,614,116
1252.jpg,640,512,truck,304,282,327,331
1252.jpg,640,512,truck,281,286,300,331
1252.jpg,640,512,truck,335,257,358,304
1252.jpg,640,512,car,367,113,385,138
1252.jpg,640,512,car,84,141,102,161
1252.jpg,640,512,car,187,455,204,499
1252.jpg,640,512,car,122,59,138,77
1252.jpg,640,512,car,87,45,103,63
1252.jpg,640,512,car,84,27,100,45
1252.jpg,640,512,car,142,57,158,74
1252.jpg,640,512,car,423,0,438,19
1252.jpg,640,512,person,615,100,626,112
1253.jpg,640,512,car,432,28,452,52
1253.jpg,640,512,truck,277,383,301,432
1253.jpg,640,512,truck,303,370,333,431
1253.jpg,640,512,truck,336,343,364,401
1253.jpg,640,512,car,371,167,393,194
1253.jpg,640,512,car,62,196,80,226
1253.jpg,640,512,car,72,78,85,107
1253.jpg,640,512,car,67,60,81,80
1253.jpg,640,512,car,127,96,145,116
1253.jpg,640,512,car,107,102,124,122
1253.jpg,640,512,car,617,150,640,165
1254.jpg,640,512,car,525,142,541,158
1254.jpg,640,512,person,506,349,517,365
1254.jpg,640,512,person,572,380,583,396
1254.jpg,640,512,car,622,446,644,459
1254.jpg,640,512,car,525,278,562,296
1254.jpg,640,512,car,509,146,525,162
1254.jpg,640,512,person,585,357,596,374
1255.jpg,640,512,car,508,146,523,163
1255.jpg,640,512,person,512,352,523,368
1255.jpg,640,512,person,577,376,587,393
1255.jpg,640,512,person,584,356,595,373
1255.jpg,640,512,car,621,446,644,461
1255.jpg,640,512,car,527,278,563,296
1255.jpg,640,512,car,523,142,539,158
1256.jpg,640,512,person,595,431,606,447
1256.jpg,640,512,car,521,182,537,198
1256.jpg,640,512,car,536,177,552,193
1256.jpg,640,512,car,542,332,572,348
1256.jpg,640,512,person,544,418,555,434
1256.jpg,640,512,person,604,421,615,437
1257.jpg,640,512,car,615,394,635,427
1257.jpg,640,512,person,542,335,553,352
1257.jpg,640,512,person,568,335,579,351
1257.jpg,640,512,person,571,320,582,337
1257.jpg,640,512,car,520,240,538,271
1257.jpg,640,512,car,615,394,635,427
1257.jpg,640,512,person,542,335,553,352
1257.jpg,640,512,person,568,335,579,351
1257.jpg,640,512,person,571,320,582,337
1257.jpg,640,512,car,520,240,538,271
1257.jpg,640,512,car,615,394,635,427
1257.jpg,640,512,person,542,335,553,352
1257.jpg,640,512,person,568,335,579,351
1257.jpg,640,512,person,571,320,582,337
1257.jpg,640,512,car,520,240,538,271
1257.jpg,640,512,car,615,394,635,427
1257.jpg,640,512,person,542,335,553,352
1257.jpg,640,512,person,568,335,579,351
1257.jpg,640,512,person,571,320,582,337
1257.jpg,640,512,car,520,240,538,271
1257.jpg,640,512,car,615,394,635,427
1257.jpg,640,512,person,542,335,553,352
1257.jpg,640,512,person,568,335,579,351
1257.jpg,640,512,person,571,320,582,337
1257.jpg,640,512,car,520,240,538,271
13.jpg,640,512,person,23,467,34,474
13.jpg,640,512,person,15,456,29,463
13.jpg,640,512,person,15,438,32,447
13.jpg,640,512,person,6,447,20,455
13.jpg,640,512,person,63,476,73,491
13.jpg,640,512,truck,336,353,466,412
13.jpg,640,512,truck,375,328,479,385
13.jpg,640,512,truck,389,291,485,347
13.jpg,640,512,truck,138,128,328,274
13.jpg,640,512,truck,227,441,419,511
13.jpg,640,512,truck,330,393,458,453
13.jpg,640,512,person,23,467,34,474
13.jpg,640,512,person,15,456,29,463
13.jpg,640,512,person,15,438,32,447
13.jpg,640,512,person,6,447,20,455
13.jpg,640,512,person,63,476,73,491
13.jpg,640,512,truck,336,353,466,412
13.jpg,640,512,truck,375,328,479,385
13.jpg,640,512,truck,389,291,485,347
13.jpg,640,512,truck,138,128,328,274
13.jpg,640,512,truck,227,441,419,511
13.jpg,640,512,truck,330,393,458,453
131.jpg,640,512,car,203,363,269,403
131.jpg,640,512,car,364,384,405,445
131.jpg,640,512,car,112,408,162,447
131.jpg,640,512,car,136,365,183,396
131.jpg,640,512,car,76,362,129,394
131.jpg,640,512,car,125,335,171,367
131.jpg,640,512,car,109,306,160,338
131.jpg,640,512,car,65,325,108,357
131.jpg,640,512,car,77,243,124,281
131.jpg,640,512,car,23,270,80,315
131.jpg,640,512,car,44,303,94,340
131.jpg,640,512,car,99,278,146,314
131.jpg,640,512,car,149,242,210,284
131.jpg,640,512,car,174,269,227,305
131.jpg,640,512,car,183,294,236,336
131.jpg,640,512,car,199,329,246,362
131.jpg,640,512,car,253,316,290,364
131.jpg,640,512,car,316,465,382,512
131.jpg,640,512,truck,162,389,281,470
131.jpg,640,512,person,414,395,423,405
131.jpg,640,512,person,409,407,415,415
131.jpg,640,512,person,408,413,415,421
131.jpg,640,512,person,416,413,424,422
131.jpg,640,512,person,422,409,431,419
131.jpg,640,512,person,431,416,441,425
131.jpg,640,512,person,435,401,446,411
131.jpg,640,512,truck,596,84,640,131
131.jpg,640,512,truck,577,207,639,267
131.jpg,640,512,truck,390,0,459,153
131.jpg,640,512,truck,0,118,160,229
131.jpg,640,512,truck,39,163,179,260
131.jpg,640,512,truck,122,204,192,260
131.jpg,640,512,truck,138,423,302,511
131.jpg,640,512,truck,212,456,321,511
132.jpg,640,512,truck,562,23,639,68
132.jpg,640,512,person,404,422,414,429
132.jpg,640,512,truck,208,474,288,512
132.jpg,640,512,truck,126,440,271,512
132.jpg,640,512,truck,132,412,251,487
132.jpg,640,512,truck,90,222,163,281
132.jpg,640,512,truck,12,186,147,281
132.jpg,640,512,truck,0,140,128,244
132.jpg,640,512,truck,359,0,431,175
132.jpg,640,512,person,399,434,410,445
132.jpg,640,512,truck,574,55,639,102
132.jpg,640,512,truck,586,128,640,182
132.jpg,640,512,truck,566,94,640,151
132.jpg,640,512,truck,547,209,640,286
132.jpg,640,512,person,381,414,390,427
132.jpg,640,512,person,376,427,384,435
132.jpg,640,512,person,375,435,384,444
132.jpg,640,512,person,386,433,393,442
132.jpg,640,512,person,391,428,399,438
132.jpg,640,512,car,32,345,80,377
132.jpg,640,512,car,334,406,373,463
132.jpg,640,512,car,295,484,349,511
132.jpg,640,512,car,177,381,237,421
132.jpg,640,512,car,221,334,258,385
132.jpg,640,512,car,168,347,213,382
132.jpg,640,512,car,108,384,154,415
132.jpg,640,512,car,84,426,133,465
132.jpg,640,512,car,51,380,100,412
132.jpg,640,512,car,94,354,144,388
132.jpg,640,512,car,153,315,206,355
132.jpg,640,512,car,144,288,195,325
132.jpg,640,512,car,118,264,179,305
132.jpg,640,512,car,70,299,115,332
132.jpg,640,512,car,48,262,94,300
132.jpg,640,512,car,0,290,53,333
132.jpg,640,512,car,18,323,65,358
132.jpg,640,512,car,79,326,132,360
133.jpg,640,512,car,0,379,22,401
133.jpg,640,512,truck,44,424,161,487
133.jpg,640,512,truck,32,456,179,511
133.jpg,640,512,truck,0,146,68,206
133.jpg,640,512,truck,0,197,80,260
133.jpg,640,512,truck,24,233,91,286
133.jpg,640,512,truck,290,10,390,209
133.jpg,640,512,truck,517,73,606,123
133.jpg,640,512,car,240,433,278,493
133.jpg,640,512,car,138,352,172,402
133.jpg,640,512,car,88,399,152,431
133.jpg,640,512,car,2,430,47,462
133.jpg,640,512,car,29,389,74,418
133.jpg,640,512,car,84,364,131,392
133.jpg,640,512,car,73,329,125,365
133.jpg,640,512,car,20,362,64,389
133.jpg,640,512,car,10,330,54,362
133.jpg,640,512,person,282,467,289,474
133.jpg,640,512,person,282,458,291,469
133.jpg,640,512,person,311,454,321,466
133.jpg,640,512,person,307,470,315,480
133.jpg,640,512,person,297,461,307,473
133.jpg,640,512,person,291,465,299,474
133.jpg,640,512,person,290,446,298,458
133.jpg,640,512,truck,527,109,624,159
133.jpg,640,512,truck,510,140,632,200
133.jpg,640,512,truck,529,172,640,239
133.jpg,640,512,truck,589,322,640,374
133.jpg,640,512,truck,567,280,640,346
133.jpg,640,512,truck,474,246,640,341
133.jpg,640,512,car,67,300,121,334
133.jpg,640,512,car,47,273,104,310
133.jpg,640,512,car,0,303,42,337
134.jpg,640,512,truck,312,263,399,343
134.jpg,640,512,truck,97,82,304,173
134.jpg,640,512,truck,281,291,379,377
134.jpg,640,512,truck,237,308,356,402
134.jpg,640,512,truck,218,343,337,437
134.jpg,640,512,truck,105,361,279,488
134.jpg,640,512,truck,164,440,293,512
135.jpg,640,512,truck,9,263,130,434
135.jpg,640,512,truck,113,294,200,415
135.jpg,640,512,truck,144,275,230,397
135.jpg,640,512,truck,185,278,263,381
135.jpg,640,512,truck,91,57,300,114
135.jpg,640,512,truck,227,268,293,357
135.jpg,640,512,truck,9,384,95,497
135.jpg,640,512,truck,28,357,125,476
135.jpg,640,512,truck,0,422,53,506
136.jpg,640,512,truck,148,239,191,332
136.jpg,640,512,truck,101,242,154,339
136.jpg,640,512,truck,37,228,88,354
136.jpg,640,512,truck,69,214,120,345
136.jpg,640,512,truck,100,0,287,118
137.jpg,640,512,truck,76,203,130,294
137.jpg,640,512,truck,0,159,30,281
137.jpg,640,512,truck,16,158,66,283
137.jpg,640,512,truck,44,194,91,292
137.jpg,640,512,truck,154,0,280,127
138.jpg,640,512,truck,0,148,66,246
138.jpg,640,512,truck,0,110,50,200
138.jpg,640,512,truck,183,0,268,150
138.jpg,640,512,truck,23,168,95,258
139.jpg,640,512,truck,0,86,51,145
139.jpg,640,512,truck,0,158,75,233
139.jpg,640,512,truck,198,0,248,184
139.jpg,640,512,truck,0,127,50,197
14.jpg,640,512,truck,235,406,347,492
14.jpg,640,512,truck,292,351,388,436
14.jpg,640,512,truck,320,323,404,401
14.jpg,640,512,truck,102,143,309,235
14.jpg,640,512,truck,118,420,290,512
14.jpg,640,512,truck,248,368,366,459
140.jpg,640,512,truck,179,38,230,244
141.jpg,640,512,truck,467,82,634,161
141.jpg,640,512,truck,454,45,593,110
141.jpg,640,512,truck,445,33,516,73
141.jpg,640,512,truck,131,80,238,284
141.jpg,640,512,car,497,0,543,18
141.jpg,640,512,car,512,26,557,51
141.jpg,640,512,car,558,5,613,36
141.jpg,640,512,car,432,7,488,39
142.jpg,640,512,truck,369,339,543,423
142.jpg,640,512,car,466,101,523,146
142.jpg,640,512,truck,498,4,611,67
142.jpg,640,512,truck,488,33,640,119
142.jpg,640,512,truck,480,70,599,145
142.jpg,640,512,truck,32,139,221,269
142.jpg,640,512,truck,405,257,479,308
142.jpg,640,512,truck,385,292,536,369
142.jpg,640,512,car,479,287,527,317
142.jpg,640,512,car,490,249,540,284
142.jpg,640,512,car,498,218,548,258
142.jpg,640,512,car,569,154,623,186
142.jpg,640,512,car,557,209,609,243
142.jpg,640,512,car,512,189,559,225
142.jpg,640,512,car,524,165,570,198
142.jpg,640,512,car,457,142,503,177
142.jpg,640,512,car,438,170,495,205
142.jpg,640,512,car,401,0,435,32
142.jpg,640,512,car,424,102,458,152
142.jpg,640,512,car,546,244,597,277
142.jpg,640,512,car,541,272,594,305
142.jpg,640,512,car,527,303,587,338
142.jpg,640,512,car,417,226,479,263
142.jpg,640,512,car,425,197,479,232
143.jpg,640,512,truck,486,203,575,322
143.jpg,640,512,person,456,24,469,39
143.jpg,640,512,person,480,47,488,58
143.jpg,640,512,person,477,59,486,70
143.jpg,640,512,person,479,73,493,83
143.jpg,640,512,person,462,71,473,80
143.jpg,640,512,truck,315,320,379,389
143.jpg,640,512,truck,28,95,230,146
143.jpg,640,512,truck,584,52,640,139
143.jpg,640,512,truck,591,113,640,194
143.jpg,640,512,truck,538,158,631,261
143.jpg,640,512,truck,511,176,639,331
143.jpg,640,512,truck,238,366,373,511
143.jpg,640,512,truck,277,338,394,475
143.jpg,640,512,car,420,337,458,385
143.jpg,640,512,car,370,276,416,330
143.jpg,640,512,car,396,263,445,315
143.jpg,640,512,car,427,249,467,296
143.jpg,640,512,car,449,385,482,423
143.jpg,640,512,car,480,358,520,406
143.jpg,640,512,car,449,320,488,365
143.jpg,640,512,car,476,304,510,347
143.jpg,640,512,car,523,321,567,368
143.jpg,640,512,car,458,219,503,281
143.jpg,640,512,car,408,203,458,247
143.jpg,640,512,car,540,98,592,158
143.jpg,640,512,car,460,81,513,130
143.jpg,640,512,car,429,403,468,449
143.jpg,640,512,car,399,423,452,477
143.jpg,640,512,car,365,380,409,430
143.jpg,640,512,car,396,354,435,399
143.jpg,640,512,car,349,298,399,354
144.jpg,640,512,car,395,284,426,344
144.jpg,640,512,car,344,259,402,289
144.jpg,640,512,car,444,165,506,196
144.jpg,640,512,car,355,298,388,350
144.jpg,640,512,truck,579,174,640,298
144.jpg,640,512,truck,561,227,626,341
144.jpg,640,512,truck,495,258,559,373
144.jpg,640,512,person,462,139,471,151
144.jpg,640,512,person,472,151,487,159
144.jpg,640,512,person,480,144,489,151
144.jpg,640,512,person,479,135,488,144
144.jpg,640,512,person,487,127,496,137
144.jpg,640,512,person,472,90,484,104
144.jpg,640,512,car,294,304,325,362
144.jpg,640,512,car,322,300,358,356
144.jpg,640,512,car,327,433,353,480
144.jpg,640,512,car,303,441,330,489
144.jpg,640,512,car,267,450,306,510
144.jpg,640,512,car,264,316,296,376
144.jpg,640,512,truck,423,279,483,408
144.jpg,640,512,truck,220,326,268,402
144.jpg,640,512,truck,181,332,253,477
144.jpg,640,512,truck,131,344,220,512
144.jpg,640,512,truck,42,9,225,114
144.jpg,640,512,car,251,400,284,447
144.jpg,640,512,car,288,388,320,437
144.jpg,640,512,car,316,378,349,430
144.jpg,640,512,car,351,373,381,428
144.jpg,640,512,car,381,368,411,422
144.jpg,640,512,car,367,422,397,478
144.jpg,640,512,car,421,399,457,456
144.jpg,640,512,truck,459,267,543,450
144.jpg,640,512,car,521,196,559,266
145.jpg,640,512,car,171,298,200,361
145.jpg,640,512,car,461,287,485,358
145.jpg,640,512,truck,409,333,445,453
145.jpg,640,512,truck,367,329,410,512
145.jpg,640,512,truck,321,329,371,456
145.jpg,640,512,truck,128,294,167,368
145.jpg,640,512,truck,82,286,134,434
145.jpg,640,512,truck,37,279,86,454
145.jpg,640,512,truck,119,0,232,92
145.jpg,640,512,person,459,162,472,174
145.jpg,640,512,person,456,206,466,215
145.jpg,640,512,person,448,209,457,217
145.jpg,640,512,person,447,217,455,224
145.jpg,640,512,person,439,224,452,232
145.jpg,640,512,person,432,207,440,218
145.jpg,640,512,truck,593,323,627,437
145.jpg,640,512,truck,561,330,598,418
145.jpg,640,512,truck,521,290,562,412
145.jpg,640,512,truck,488,335,523,453
145.jpg,640,512,car,171,376,197,418
145.jpg,640,512,car,200,379,222,418
145.jpg,640,512,car,231,385,256,432
145.jpg,640,512,car,226,436,255,486
145.jpg,640,512,car,187,429,213,475
145.jpg,640,512,car,163,429,185,477
145.jpg,640,512,car,131,424,157,485
145.jpg,640,512,car,131,370,158,418
145.jpg,640,512,car,204,297,231,353
145.jpg,640,512,car,235,307,257,365
145.jpg,640,512,car,265,319,292,368
145.jpg,640,512,car,263,386,287,441
145.jpg,640,512,car,290,435,315,489
145.jpg,640,512,car,304,317,335,374
145.jpg,640,512,car,271,284,327,314
145.jpg,640,512,car,393,234,458,264
146.jpg,640,512,car,66,328,98,376
146.jpg,640,512,person,380,288,388,297
146.jpg,640,512,person,374,267,379,280
146.jpg,640,512,car,42,375,75,425
146.jpg,640,512,car,9,357,46,415
146.jpg,640,512,car,32,310,64,361
146.jpg,640,512,car,168,317,207,362
146.jpg,640,512,car,197,328,244,391
146.jpg,640,512,person,424,239,430,248
146.jpg,640,512,car,115,363,151,409
146.jpg,640,512,car,140,380,173,426
146.jpg,640,512,car,353,353,397,422
146.jpg,640,512,car,148,429,185,484
146.jpg,640,512,car,93,404,131,455
146.jpg,640,512,car,64,386,97,429
146.jpg,640,512,car,88,343,125,393
146.jpg,640,512,car,141,290,179,348
146.jpg,640,512,car,116,273,156,328
146.jpg,640,512,car,88,263,130,319
146.jpg,640,512,truck,175,0,243,83
146.jpg,640,512,truck,425,0,488,65
146.jpg,640,512,car,327,281,391,327
146.jpg,640,512,car,194,284,250,323
146.jpg,640,512,person,384,282,392,290
146.jpg,640,512,person,400,276,412,284
146.jpg,640,512,person,391,278,399,284
146.jpg,640,512,truck,0,222,70,358
146.jpg,640,512,truck,49,244,100,317
146.jpg,640,512,truck,271,383,344,495
146.jpg,640,512,truck,195,349,272,469
146.jpg,640,512,truck,215,365,309,512
146.jpg,640,512,truck,347,411,412,511
146.jpg,640,512,truck,394,380,468,497
146.jpg,640,512,truck,0,196,31,280
146.jpg,640,512,truck,433,432,483,512
146.jpg,640,512,truck,470,437,517,511
146.jpg,640,512,truck,506,421,573,512
146.jpg,640,512,truck,552,431,604,508
147.jpg,640,512,truck,102,364,202,468
147.jpg,640,512,truck,596,59,640,143
147.jpg,640,512,truck,553,26,640,127
147.jpg,640,512,truck,517,9,609,105
147.jpg,640,512,truck,425,1,570,141
147.jpg,640,512,truck,195,0,244,103
147.jpg,640,512,truck,5,220,63,286
147.jpg,640,512,truck,104,389,230,511
